rx;ry;B_x;B_y;B_z
-0,13275862068965516;0,10862068965517241;20,29;0,10;-5,59
-0,3258620689655172;-0,13275862068965516;20,68;-8,92;-2,55
-0,18103448275862066;0,036206896551724155;7,25;-10,78;4,90
-0,10862068965517241;0,22931034482758628;18,82;-11,47;0,88
-0,20517241379310341;0,3017241379310345;16,66;-6,96;-6,27
-0,18103448275862066;0,036206896551724155;9,02;-7,35;-6,76
0,012068965517241403;0,036206896551724155;18,72;-11,27;0,29
-0,35;0,35;24,79;-1,76;0,20
0,10862068965517241;0,036206896551724155;2,65;-7,55;-5,29
-0,27758620689655167;-0,13275862068965516;23,13;2,84;-0,10
-0,3017241379310345;-0,06034482758620685;9,60;-10,49;5,68
-0,20517241379310341;0,10862068965517241;10,00;-12,15;3,82
-0,20517241379310341;0,13275862068965516;16,46;-11,66;-1,86
-0,3017241379310345;-0,1568965517241379;15,88;-10,98;-2,74
-0,20517241379310341;-0,3017241379310345;7,64;-10,29;5,49
0,036206896551724155;-0,3017241379310345;6,86;-5,88;7,84
-0,012068965517241348;0,3258620689655173;12,45;0,29;8,62
-0,27758620689655167;0,060344827586206906;13,23;-1,37;-7,74
0,08448275862068966;-0,35;12,45;-12,74;-0,49
0,20517241379310347;-0,2293103448275862;10,49;1,96;8,04
-0,3258620689655172;0,22931034482758628;14,01;5,59;5,78
0,35;0,3017241379310345;5,88;-10,09;-4,31
0,253448275862069;0,2775862068965518;8,92;6,96;-4,31
0,08448275862068966;-0,18103448275862066;12,35;6,47;-5,39
-0,06034482758620685;-0,13275862068965516;19,70;2,45;7,74
0,35;0,253448275862069;21,66;-4,31;8,53
-0,18103448275862066;-0,20517241379310341;10,09;7,74;-3,82
-0,253448275862069;0,18103448275862066;12,54;-7,84;9,21
-0,10862068965517241;-0,06034482758620685;12,35;-12,05;-4,21
-0,0362068965517241;0,08448275862068966;21,36;-7,94;4,51
-0,2293103448275862;-0,06034482758620685;24,11;-4,41;-1,47
0,22931034482758628;-0,1568965517241379;14,80;-11,47;4,12
-0,0362068965517241;0,253448275862069;15,39;6,47;4,41
0,2775862068965518;0,253448275862069;17,15;-3,04;-7,06
0,18103448275862066;0,3258620689655173;13,03;6,86;-4,80
0,22931034482758628;0,35;12,64;4,51;-6,76
0,13275862068965516;-0,06034482758620685;10,88;5,19;-6,27
0,22931034482758628;0,35;23,32;4,61;3,53
0,253448275862069;0,18103448275862066;11,17;5,29;-6,37
0,22931034482758628;0,10862068965517241;16,07;7,15;-4,21
0,012068965517241403;0,036206896551724155;19,01;7,25;-2,55
-0,06034482758620685;-0,08448275862068966;26,85;-0,98;0,49
-0,3017241379310345;-0,1568965517241379;23,72;-5,00;6,27
0,20517241379310347;-0,10862068965517241;7,94;-10,98;6,47
-0,06034482758620685;-0,13275862068965516;17,84;6,17;3,92
-0,3258620689655172;0,22931034482758628;19,89;-4,12;7,25
0,2775862068965518;0,08448275862068966;5,78;-10,09;-4,31
0,253448275862069;-0,012068965517241348;17,44;8,53;-1,57
0,13275862068965516;0,3258620689655173;19,11;8,23;1,08
0,253448275862069;0,20517241379310347;14,11;3,53;-7,94
-0,35;-0,3017241379310345;16,17;7,15;-4,90
-0,13275862068965516;-0,2293103448275862;2,25;-7,55;6,86
-0,27758620689655167;-0,06034482758620685;12,94;-6,76;9,60
0,012068965517241403;-0,35;11,37;-12,25;4,41
-0,18103448275862066;0,22931034482758628;10,09;-0,20;8,92
-0,35;-0,27758620689655167;13,82;-9,11;-5,88
-0,08448275862068966;0,13275862068965516;3,63;-8,23;6,27
0,10862068965517241;-0,18103448275862066;21,85;-6,96;-3,33
-0,3017241379310345;-0,2293103448275862;17,93;3,04;6,37
0,253448275862069;0,2775862068965518;5,49;-8,04;6,37
-0,35;0,18103448275862066;11,86;5,98;-4,61
0,3258620689655173;0,18103448275862066;5,78;-10,68;-3,33
-0,08448275862068966;0,22931034482758628;12,94;8,23;-3,43
-0,06034482758620685;-0,20517241379310341;18,82;-5,78;-7,64
0,060344827586206906;0,253448275862069;16,76;-3,72;8,82
0,22931034482758628;-0,0362068965517241;17,93;1,18;-6,57
0,2775862068965518;0,35;18,23;7,25;1,76
-0,253448275862069;-0,18103448275862066;9,80;5,88;-5,88
0,35;-0,13275862068965516;9,80;-10,29;7,64
-0,253448275862069;-0,10862068965517241;12,45;8,82;3,43
-0,20517241379310341;0,012068965517241403;12,74;-11,86;6,47
-0,27758620689655167;0,012068965517241403;19,21;-13,43;2,84
-0,2293103448275862;0,15689655172413797;13,72;-14,31;2,25
0,35;-0,08448275862068966;15,19;-12,94;-3,63
-0,012068965517241348;-0,13275862068965516;13,43;9,31;2,35
0,18103448275862066;-0,0362068965517241;21,66;-1,57;7,64
0,2775862068965518;-0,18103448275862066;21,46;5,88;2,74
-0,1568965517241379;-0,012068965517241348;13,62;7,64;4,70
-0,20517241379310341;0,036206896551724155;21,95;-10,58;3,53
0,35;0,060344827586206906;19,11;-12,94;1,18
-0,10862068965517241;0,20517241379310347;14,01;9,51;-0,78
-0,08448275862068966;-0,3017241379310345;20,29;-7,55;-7,25
0,3017241379310345;0,35;10,78;-3,23;9,02
0,036206896551724155;-0,10862068965517241;8,62;5,88;-4,90
