rx,ry,B_x,B_y,B_z
-0.229310345,0.012068966,18.59,-18.65,-7.2
-0.325862069,-0.253448276,9.77,-19.97,6.47
0.277586207,0.084482759,18.19,7.07,-7.73
-0.036206897,0.277586207,11.12,-3.63,-11.28
0.036206897,-0.012068966,32.81,-3.3,-8.63
-0.253448276,-0.156896552,20.21,-22.75,2.63
0.012068966,0.301724138,10.76,-2.49,-11.07
-0.012068966,-0.301724138,31.47,-6.29,10.68
-0.181034483,-0.012068966,25.25,-18.85,-6.42
-0.10862069,-0.10862069,35.06,-17.09,-1.71
-0.181034483,0.277586207,7.42,-7.85,-9.98
0.229310345,0.156896552,16.46,5.24,-9.44
0.012068966,-0.156896552,38.77,-5.34,0.55
-0.036206897,-0.35,26.37,-6.96,12.83
-0.277586207,-0.036206897,16.82,-21.78,-3.64
0.132758621,0.301724138,11.14,1.25,-10.32
0.036206897,-0.10862069,37.82,-3.12,-3.11
0.036206897,-0.181034483,38.8,-3.09,2.24
-0.084482759,-0.084482759,36.06,-13.69,-3.37
0.084482759,-0.10862069,37.27,0.24,-3.16
0.181034483,-0.253448276,30.74,6.85,4.14
0.253448276,-0.277586207,25.28,9.6,3.9
-0.301724138,0.205172414,5.08,-10.72,-8.11
0.132758621,-0.084482759,33.4,3.3,-4.86
0.253448276,0.084482759,19.51,6.94,-8.38
0.060344828,-0.10862069,36.97,-1.14,-3.34
-0.060344828,-0.060344828,35.57,-11.29,-5.63
0.132758621,-0.325862069,29.15,3.92,8.6
-0.036206897,0.205172414,15.84,-4.76,-11.86
-0.060344828,-0.084482759,36.41,-11.8,-4.12
-0.205172414,-0.325862069,17.22,-16.44,11.27
-0.205172414,-0.060344828,25.14,-22.21,-3.32
-0.35,-0.156896552,10.18,-21.43,2.42
0.060344828,-0.277586207,35.13,-2.39,8.72
0.132758621,0.10862069,23.25,2.39,-10.32
0.036206897,-0.156896552,38.52,-2.96,0.37
0.132758621,0.229310345,15.32,1.9,-10.82
-0.10862069,-0.084482759,34.05,-15.54,-3.47
0.084482759,0.084482759,25.64,-0.04,-10.99
0.060344828,-0.156896552,38.1,-1.08,0.06
0.181034483,-0.229310345,31.46,6.85,2.92
0.060344828,0.10862069,24.1,-0.83,-11.24
0.012068966,-0.132758621,38.8,-5.11,-1.03
-0.036206897,0.229310345,14.32,-4.46,-11.82
-0.301724138,0.060344828,10.31,-16.99,-7.17
0.012068966,0.036206897,29.65,-5.21,-10.66
-0.253448276,-0.181034483,19.99,-22.52,4.02
0.301724138,0.060344828,17.95,7.95,-6.94
-0.181034483,-0.35,16.87,-14.07,12.08
-0.060344828,-0.205172414,37.22,-13.17,6.12
0.181034483,-0.325862069,27.46,6.25,7.7
0.036206897,0.181034483,18.62,-1.77,-11.78
-0.229310345,-0.156896552,23.22,-22.54,2.6
-0.181034483,0.229310345,9.45,-9.64,-10.47
0.156896552,0.132758621,20.23,3.06,-10.68
-0.325862069,-0.205172414,11.35,-20.68,4.6
0.181034483,-0.156896552,32.36,6.21,-0.75
0.10862069,0.181034483,18.55,1.22,-11.21
-0.301724138,0.253448276,3.67,-9.1,-8.16
-0.253448276,0.036206897,14.86,-18.26,-7.73
0.301724138,-0.205172414,23.26,10.43,0.25
-0.253448276,-0.35,11.2,-15.21,10.68
-0.253448276,-0.253448276,16.88,-20.61,8.5
-0.084482759,-0.132758621,37.9,-16.63,0.56
-0.10862069,-0.132758621,36.38,-18.3,0.8
-0.181034483,0.012068966,24.38,-19.28,-7.51
-0.036206897,-0.181034483,39.41,-11.82,3.66
0.301724138,-0.325862069,20.82,9.86,4.73
-0.132758621,0.301724138,7.55,-5.61,-10.11
-0.205172414,-0.181034483,25.18,-21.98,3.89
0.229310345,0.205172414,14.38,4.56,-9.25
0.060344828,-0.181034483,37.73,-1.02,1.68
0.205172414,0.181034483,16.57,4.46,-9.76
-0.35,-0.277586207,6.96,-17.63,6.67
0.036206897,-0.229310345,39.25,-5.3,6.48
0.132758621,-0.156896552,36.31,3.22,-0.17
0.156896552,0.205172414,16.35,2.8,-10.55
-0.060344828,-0.325862069,27.4,-8.95,12.17
-0.253448276,0.325862069,4,-7.55,-8.42
-0.325862069,0.253448276,2.91,-9.5,-7.85
0.084482759,0.156896552,19.74,-0.08,-11.72
0.35,-0.253448276,19.07,11.1,1.35
0.036206897,0.205172414,16.66,-1.48,-11.84
-0.325862069,-0.301724138,7.99,-17.66,7.84
-0.301724138,-0.156896552,14.75,-23.09,3.53
0.253448276,0.132758621,17.12,5.91,-8.57
-0.132758621,-0.253448276,28.53,-16,9.1
0.325862069,-0.277586207,20.69,10.53,2.87
0.10862069,-0.132758621,35.74,2.31,-1.56
-0.205172414,-0.156896552,26.2,-21.74,2.9
0.205172414,0.10862069,20.5,4.88,-9.35
0.325862069,-0.084482759,20.68,10.32,-3.85
0.012068966,-0.277586207,33.77,-4.53,9
-0.205172414,-0.012068966,23.16,-19.63,-6.22
0.156896552,-0.277586207,31.1,5.07,5.84
0.036206897,0.277586207,12.42,-1.23,-11.07
-0.301724138,-0.325862069,8.58,-16.92,8.86
-0.084482759,-0.229310345,36.32,-16.49,7.94
0.132758621,-0.301724138,32.54,2.73,8.77
0.253448276,-0.35,22.54,8.7,6.78
0.156896552,0.012068966,28.14,4.54,-7.63
-0.156896552,-0.205172414,29.81,-18.58,6.37
0.277586207,0.205172414,13.04,5.55,-8.28
-0.012068966,-0.060344828,36.28,-6.84,-5.81
0.325862069,-0.181034483,21.93,10.91,-0.79
-0.012068966,0.229310345,14.53,-3.3,-11.87
0.060344828,0.036206897,28.96,-1.27,-10.32
-0.060344828,-0.036206897,34.28,-11.07,-7.26
-0.10862069,0.205172414,13.84,-7.85,-11.83
-0.325862069,0.229310345,3.22,-9.93,-7.8
-0.036206897,0.084482759,24.65,-7.7,-12.02
-0.181034483,0.084482759,18.02,-14.54,-10.45
0.277586207,-0.35,20.7,9.2,5.62
0.35,-0.35,17.35,10.62,4.26
-0.060344828,0.036206897,28.85,-9.46,-10.14
0.060344828,-0.325862069,30.58,-0.64,10.3
0.060344828,0.229310345,15.39,-0.67,-11.37
0.132758621,-0.132758621,34.52,3.88,-2.36
0.253448276,-0.205172414,26.91,9.68,0.66
0.132758621,0.253448276,13.68,1.92,-10.64
0.181034483,0.132758621,19.31,4.23,-10.19
0.060344828,-0.084482759,36.52,-1.1,-4.8
0.301724138,0.253448276,10.64,5.57,-7.98
-0.229310345,0.229310345,6.94,-9.4,-9.72
0.229310345,-0.277586207,26.59,8.62,4.21
-0.325862069,-0.012068966,11.42,-20.02,-4.2
0.036206897,-0.132758621,39.53,-4.43,-1.21
0.10862069,-0.325862069,30.32,2.32,9.41
-0.301724138,0.084482759,9.83,-16.32,-7.28
0.325862069,-0.132758621,21.35,10.49,-2.41
0.205172414,0.084482759,21.59,5.93,-8.9
0.253448276,0.205172414,13.67,5.5,-8.93
0.10862069,0.229310345,14.84,1.17,-11.08
0.181034483,-0.060344828,29.32,6.16,-5.85
0.277586207,-0.012068966,22.17,8.88,-6.41
-0.253448276,-0.325862069,12.6,-16.79,10.29
0.132758621,-0.036206897,31.98,2.86,-6.84
-0.132758621,-0.277586207,27.55,-15.57,10.46
0.156896552,-0.253448276,32.7,5.22,5.02
0.181034483,-0.181034483,32.78,6.86,0.6
-0.10862069,-0.036206897,32.5,-14.85,-6.38
-0.205172414,0.181034483,11.04,-11.47,-10.42
0.156896552,0.277586207,11.99,2.17,-10.41
-0.301724138,0.036206897,11.26,-18.04,-6.54
0.084482759,0.325862069,9.93,-0.08,-10.56
0.060344828,0.325862069,9.8,-0.45,-10.74
-0.060344828,-0.229310345,35.25,-11.45,7.07
-0.205172414,-0.084482759,25.99,-21.8,-2
-0.156896552,0.060344828,21.99,-15.68,-9.99
0.10862069,-0.036206897,32.82,1.64,-7.15
0.325862069,0.012068966,18.42,9.2,-6.05
-0.181034483,0.205172414,10.49,-9.46,-10.74
0.325862069,-0.325862069,18.81,10.27,3.86
0.060344828,0.181034483,18.52,-0.61,-11.7
0.35,0.229310345,9.8,6.41,-7.22
-0.325862069,-0.277586207,8.64,-18.52,7.43
0.084482759,-0.35,30.01,-0.45,12.09
0.301724138,0.325862069,8.33,4.73,-7.43
0.301724138,-0.10862069,22.5,10.28,-3.22
-0.132758621,0.277586207,8.53,-6.22,-10.73
-0.10862069,0.325862069,6.96,-5.02,-10.44
-0.325862069,0.060344828,8.37,-17.04,-6.76
0.325862069,-0.060344828,20.37,9.97,-4.55
0.205172414,-0.084482759,19.12,5.39,-9.68
0.205172414,0.132758621,19.11,5.31,-9.75
0.036206897,-0.301724138,32.54,-2.12,10.17
0.325862069,-0.229310345,21.94,11.22,1.37
0.10862069,0.036206897,28.89,2.17,-9.31
0.181034483,0.181034483,17.31,4.03,-10.5
0.205172414,0.301724138,10.52,3.56,-9.55
-0.35,-0.181034483,9.45,-21.13,3.37
-0.301724138,-0.35,7.74,-17.36,9.8
-0.253448276,0.060344828,15.29,-20.07,-7.75
-0.012068966,-0.012068966,35.78,-9.55,-8.1
-0.35,-0.084482759,10.49,-21.37,-0.8
0.301724138,-0.036206897,21.56,9.18,-5.09
-0.036206897,0.35,7.72,-2.7,-10.26
-0.35,0.253448276,2.13,-9.33,-7.49
0.156896552,-0.229310345,32.79,5.15,3.26
0.181034483,-0.10862069,31.86,6.29,-3.23
0.156896552,-0.10862069,33.14,5.02,-3.25
-0.253448276,0.012068966,16.94,-19.25,-6.61
-0.060344828,0.301724138,9.37,-4.61,-11.03
-0.181034483,0.35,4.59,-5.79,-9.28
0.036206897,-0.205172414,37.93,-3.54,3.83
-0.10862069,-0.229310345,32.52,-15.16,7.76
-0.012068966,0.205172414,16.54,-4.27,-11.97
-0.012068966,0.156896552,19.55,-4.7,-12.35
0.253448276,-0.301724138,24.07,9.15,4.51
-0.301724138,-0.277586207,11,-18.48,8.11
0.036206897,0.229310345,15.1,-2.12,-11.7
0.277586207,0.301724138,9.18,4.69,-8.28
-0.012068966,-0.132758621,38.63,-7.32,-0.75
-0.156896552,0.10862069,18.49,-12.84,-10.9
0.205172414,0.012068966,25.46,5.91,-7.95
-0.084482759,-0.036206897,32.93,-12.79,-6.98
0.036206897,-0.060344828,36.5,-3.81,-6.32
-0.229310345,0.036206897,17.84,-17.9,-8.11
-0.229310345,-0.060344828,22.05,-21.89,-3.84
0.325862069,0.277586207,9.04,5.23,-7.39
-0.084482759,-0.325862069,25.95,-10.58,12.48
0.229310345,-0.35,23.48,7.93,7.36
-0.012068966,0.35,8.16,-2.07,-10.14
0.012068966,-0.301724138,31.96,-4.32,10.26
0.181034483,0.156896552,18.6,3.91,-10.01
-0.10862069,-0.253448276,30.83,-14.37,9.1
-0.253448276,-0.084482759,20.74,-22.99,-1.48
-0.012068966,0.181034483,17.96,-4.85,-12.39
0.325862069,-0.301724138,19.55,10.59,3.11
0.036206897,0.156896552,20.21,-1.78,-11.91
-0.036206897,-0.060344828,36.33,-9.21,-5.88
-0.084482759,0.229310345,13.16,-6.34,-11.77
0.229310345,0.181034483,15.41,5.06,-9.59
0.10862069,0.277586207,12.33,1.04,-10.84
-0.156896552,0.35,4.95,-5.22,-9.44
0.084482759,-0.181034483,37.33,0.55,1.4
-0.084482759,0.253448276,11.76,-5.67,-11.35
0.012068966,0.012068966,31.41,-4.99,-9.83
0.35,0.253448276,9.32,6.01,-7.12
0.325862069,0.325862069,7.68,5.16,-7.3
0.301724138,-0.181034483,22.9,10.64,-0.49
-0.132758621,0.012068966,27.47,-15.1,-8.73
-0.229310345,-0.325862069,15.11,-17.35,10.91
-0.205172414,0.277586207,6.35,-8.67,-9.47
0.277586207,0.132758621,15.87,6.68,-8.43
-0.325862069,0.181034483,4.58,-11.58,-7.77
0.205172414,-0.301724138,27.02,7.4,5.84
-0.301724138,0.10862069,8.79,-15,-7.69
-0.132758621,-0.325862069,23.48,-15.01,12.24
0.205172414,-0.132758621,30.55,7.39,-1.97
0.277586207,0.229310345,12.11,5.58,-8.39
0.10862069,-0.084482759,34.09,2.48,-4.65
0.277586207,0.277586207,10.39,5.03,-8.31
-0.132758621,0.181034483,13.85,-9.01,-11.59
-0.325862069,0.35,2.32,-7.79,-8.25
0.277586207,0.060344828,18.9,7.79,-7.71
-0.35,0.132758621,4.99,-13.34,-7.13
-0.084482759,0.205172414,14.15,-7.41,-12.24
-0.277586207,0.10862069,10.03,-15.12,-8.71
0.084482759,-0.277586207,33.96,0.36,7.59
-0.060344828,0.325862069,8.63,-3.77,-10.39
0.35,0.205172414,10.29,6.63,-7.16
-0.35,0.205172414,2.87,-10.43,-7.23
-0.060344828,0.229310345,13.15,-5.82,-12.07
0.036206897,0.132758621,21.78,-2.62,-12.34
-0.156896552,0.277586207,7.95,-7.01,-10.53
0.181034483,-0.301724138,28.17,6.56,6.39
0.35,0.181034483,11.41,7.14,-6.87
-0.325862069,0.325862069,2.33,-7.83,-8.15
0.277586207,-0.084482759,23.95,9.6,-4.24
0.253448276,0.301724138,9.86,4.52,-8.61
0.277586207,-0.132758621,24.81,10.19,-2.38
0.10862069,0.060344828,26.84,2.2,-10.12
0.229310345,-0.181034483,29,9.14,-0.19
-0.10862069,-0.060344828,34.63,-15.58,-4.98
-0.253448276,-0.10862069,21.57,-23.92,-0.22
0.35,-0.205172414,20.2,11.12,0.15
0.012068966,-0.036206897,35.98,-4.57,-7.14
-0.301724138,-0.132758621,15.98,-23.04,1.4
0.10862069,-0.156896552,37.55,1.36,-0.12
-0.277586207,0.205172414,6.46,-11.1,-8.74
-0.060344828,0.156896552,18.48,-7.67,-12.53
0.012068966,0.10862069,24.03,-4.43,-12.33
-0.060344828,-0.10862069,37.58,-12.59,-2.57
0.35,0.012068966,17.27,9.28,-5.67
0.325862069,0.156896552,13.1,7.3,-7.47
-0.156896552,-0.084482759,30.59,-19.31,-2.79
0.084482759,-0.132758621,38.27,-0.23,-1.68
-0.229310345,0.084482759,15.41,-16.1,-9.23
-0.084482759,0.156896552,17.98,-8.77,-12.43
-0.084482759,0.181034483,16.23,-7.97,-12.4
0.229310345,-0.10862069,28.2,8.21,-3.67
0.277586207,-0.181034483,25.52,10.34,-0.53
0.229310345,-0.205172414,28.46,8.92,0.94
0.156896552,0.156896552,19.22,3.43,-10.53
-0.060344828,-0.301724138,30.08,-9.76,11.52
-0.229310345,0.156896552,11.23,-13.16,-9.72
0.35,0.084482759,14.53,8.33,-6.65
-0.205172414,-0.301724138,18.67,-17.37,10.83
-0.012068966,0.325862069,9.23,-2.88,-10.61
-0.229310345,0.10862069,13.15,-14.49,-9.72
-0.132758621,-0.060344828,31.15,-17.99,-5.48
0.156896552,0.301724138,11.21,1.95,-10.14
0.229310345,0.132758621,17.49,5.66,-9.37
-0.036206897,-0.084482759,37.41,-9.54,-4.37
0.301724138,0.181034483,13.48,6.39,-8.12
-0.301724138,0.012068966,12.3,-19.36,-5.81
0.301724138,0.229310345,11.23,5.67,-8.12
0.156896552,0.253448276,13,2.61,-10.4
-0.012068966,-0.325862069,29.32,-5.58,12
-0.084482759,-0.181034483,36.92,-14.25,4.82
0.012068966,-0.35,28.44,-4.14,12.64
-0.181034483,-0.325862069,19.19,-15.64,12.19
0.132758621,0.325862069,10.06,1.29,-9.85
0.10862069,0.084482759,24.15,1.62,-10.82
0.301724138,0.277586207,9.7,5.35,-8.02
0.060344828,0.35,8.56,-0.26,-10.18
-0.156896552,-0.132758621,31.29,-20.13,0.5
0.301724138,-0.253448276,22.95,10.4,2.33
0.205172414,-0.060344828,28.41,7.28,-5.17
-0.036206897,-0.205172414,37.64,-9.34,5.33
0.012068966,0.35,8.7,-1.77,-10.26
-0.205172414,0.060344828,17.77,-16.18,-9.39
-0.084482759,0.132758621,19.57,-9.37,-12.33
-0.10862069,-0.181034483,35.01,-16.86,3.59
0.229310345,0.084482759,20.88,6.02,-8.69
-0.036206897,0.036206897,29.24,-7.64,-10.43
0.35,0.10862069,13.95,8.04,-6.8
0.229310345,-0.229310345,27.7,8.86,2.14
-0.012068966,-0.181034483,38.89,-7.34,3.25
0.181034483,-0.132758621,32.6,6.48,-2.06
-0.277586207,-0.132758621,18.25,-23.04,1.38
-0.10862069,0.229310345,12.17,-7.81,-11.54
-0.084482759,-0.205172414,35.62,-14.79,5.29
-0.181034483,-0.205172414,27.45,-20.77,6.09
0.253448276,-0.229310345,26.83,9.26,2.04
0.060344828,0.156896552,20.53,-0.73,-11.62
-0.036206897,-0.325862069,28.62,-7.4,11.95
0.132758621,-0.012068966,30.7,3.03,-7.49
-0.277586207,-0.325862069,10.75,-16.6,9.57
-0.229310345,0.132758621,12.2,-14.93,-9.47
0.012068966,0.156896552,20.05,-3.88,-12.43
-0.325862069,0.132758621,6.21,-13.6,-7.58
0.060344828,0.012068966,31.04,-1.81,-9.42
-0.156896552,0.132758621,16.53,-11.74,-11.2
-0.156896552,-0.156896552,30.9,-20.13,2.26
-0.253448276,0.205172414,7.45,-11.39,-9.18
0.229310345,-0.301724138,25.5,8.3,5.1
0.35,0.060344828,15.3,8.84,-6.13
-0.35,0.35,2.27,-7.65,-8.1
0.132758621,-0.229310345,33.93,4.15,3.72
-0.156896552,0.012068966,26.11,-16.31,-8.29
-0.10862069,0.060344828,25.24,-12.67,-10.77
-0.277586207,-0.060344828,17.48,-22.11,-3
-0.10862069,-0.205172414,34.58,-17.37,5.69
-0.253448276,0.10862069,12.31,-15.74,-8.84
0.156896552,0.325862069,9.81,1.9,-9.83
-0.253448276,0.181034483,8.11,-11.46,-9.42
0.35,0.036206897,15.81,8.91,-6.02
-0.277586207,-0.229310345,15.55,-20.86,6.6
